site,http_status,observation_notes,finding_type,data_categories,possible_exposure_point,evidence,confidence,related_technology,cve_status,recommended_check,generated_at_utc
https://example.com,offline,no site evidence collected,schema hypothesis; site ownership of sample unverified,"audit, credential, identity, network","application database, backup, or admin export",credential-shaped fields detected in supplied sample,low,,not queried / no technology identified,compare field names and record timestamps with DB audit logs and backup access logs,2026-09-07T08:24:17.303805+00:00
https://example.com,offline,no site evidence collected,schema hypothesis; site ownership of sample unverified,"audit, credential, identity, network",customer/user database or API response,identity or personal-data fields detected in supplied sample,low,,not queried / no technology identified,"compare API access logs, export jobs, and database query audit records",2026-09-07T08:24:17.303818+00:00
